Index,Value
5,30
5,30
5,30
5,30
5,30
5,30
5,30
5,30
6,182
6,200
6,30
6,200
6,200
6,200
6,30
6,30
6,200
6,30
6,30
6,200
6,200
6,30
6,30
6,30
6,30
6,162
6,200
6,200
6,30
6,30
6,30
6,30
6,200
6,30
6,30
6,200
6,200
6,200
6,200
6,200
6,200
6,30
6,30
6,30
6,30
6,30
6,30
6,200
6,30
6,200
6,30
6,200
6,30
6,30
6,200
6,30
6,200
6,200
6,200
6,30
6,200
6,200
6,30
6,30
6,30
6,200
6,30
6,30
6,30
6,30
6,30
6,200
6,30
6,200
6,186
6,200
6,197
6,177
6,30
6,176
6,30
6,188
6,30
6,187
6,30
6,30
6,30
6,199
6,30
6,30
6,200
6,200
6,30
6,30
6,30
6,30
6,30
6,191
6,200
6,175
6,30
6,30
6,30
6,200
6,30
6,200
6,30
6,30
6,200
6,30
6,196
6,187
6,200
6,192
6,200
6,200
6,200
6,30
6,175
6,30
6,30
6,200
6,30
6,200
6,200
6,200
6,200
6,200
6,30
6,30
6,190
6,30
6,30
6,200
6,200
6,200
6,30
6,30
6,30
6,30
6,30
6,200
6,200
6,30
6,30
6,30
6,30
6,30
6,30
6,30
6,30
6,30
6,30
6,200
6,200
6,30
6,30
6,200
6,200
6,200
6,200
6,200
6,200
6,200
6,200
6,30
6,200
6,30
6,200
6,200
6,30
6,200
6,30
6,30
6,30
6,30
6,30
6,30
6,30
6,30
6,200
6,200
6,30
6,200
6,200
6,200
6,30
6,200
6,200
6,200
6,200
6,200
6,200
6,200
6,30
6,200
6,200
6,200
6,30
6,30
6,30
6,200
6,30
6,30
6,30
6,200
6,30
6,30
6,200
6,30
6,30
6,200
6,30
6,30
6,30
6,191
6,30
6,30
6,30
6,30
6,200
6,30
6,200
6,30
6,200
6,30
6,30
6,200
6,30
6,30
6,30
7,30
7,200
7,30
7,30
7,30
7,200
7,30
7,200
7,200
7,30
7,30
7,200
7,30
7,200
7,200
7,30
7,30
7,200
7,200
7,200
7,30
7,30
7,200
7,200
7,30
7,30
7,30
7,30
7,30
7,200
7,200
7,30
7,200
7,200
7,30
7,200
7,200
7,30
7,200
7,200
7,30
7,30
7,200
7,200
7,30
7,30
7,200
7,200
7,30
7,30
7,30
7,200
7,30
7,200
7,30
7,200
7,30
7,200
7,200
7,157
7,30
7,30
7,30
7,200
7,200
7,200
7,200
7,30
7,30
7,30
7,30
7,200
7,200
7,200
7,30
7,30
7,200
7,30
7,30
7,30
7,30
7,30
7,30
7,30
7,30
7,30
7,30
7,200
7,30
7,30
7,30
7,200
7,30
7,30
7,30
7,30
7,200
7,30
7,194
7,200
7,30
7,30
7,30
7,30
7,30
7,30
7,30
7,200
7,200
7,30
7,30
7,30
7,30
7,200
7,200
7,30
7,200
7,200
7,200
7,200
7,30
7,30
7,30
7,30
7,30
7,30
7,200
7,30
7,200
7,30
7,200
7,30
7,200
7,30
7,30
7,30
7,30
7,30
7,30
7,30
7,30
7,30
7,30
7,30
7,30
7,30
7,200
7,30
7,30
7,30
7,200
7,30
7,200
7,30
7,200
7,30
7,200
7,30
7,30
7,200
7,200
7,200
7,200
7,200
7,200
7,200
7,30
7,200
7,30
7,30
7,200
7,30
7,200
7,200
7,200
7,200
7,200
7,200
7,200
7,200
7,200
7,200
7,200
7,200
7,200
7,200
7,200
7,200
7,30
7,200
7,30
7,200
7,30
7,30
7,30
7,30
7,30
7,100
7,30
